order_id,customer_id,product_id,order_date,quantity,price_per_unit,total_amount,payment_method
1,405,1082,2025-10-14 19:32:05.263656,3,1722.58,5167.74,Credit Card
2,449,1734,2024-11-25 19:32:05.263691,1,673.19,673.19,Wallet
3,725,311,2025-02-28 19:32:05.263705,3,1383.13,4149.39,Debit Card
4,444,1841,2025-04-29 19:32:05.263715,2,2474.97,4949.94,Credit Card
5,1472,1132,2025-12-31 19:32:05.263724,2,2520.33,5040.66,Credit Card
6,78,194,2025-09-26 19:32:05.263768,3,1172.21,3516.63,UPI
7,1428,1792,2024-07-16 19:32:05.263779,2,2583.45,5166.9,UPI
8,1021,412,2025-01-08 19:32:05.263788,1,1483.03,1483.03,Credit Card
9,639,903,2024-04-22 19:32:05.263798,3,1558.99,4676.97,UPI
10,209,1796,2025-01-25 19:32:05.263807,2,967.19,1934.38,COD
11,300,691,2024-11-13 19:32:05.263817,2,610.14,1220.28,Credit Card
12,1386,1147,2024-07-24 19:32:05.263825,1,1936.71,1936.71,COD
13,1436,507,2024-04-17 19:32:05.263835,2,1492.79,2985.58,COD
14,1267,1415,2024-07-01 19:32:05.263843,2,590.15,1180.3,COD
15,1378,137,2025-01-07 19:32:05.263851,1,2185.83,2185.83,UPI
16,1335,1562,2025-07-02 19:32:05.263860,1,2071.57,2071.57,COD
17,1276,1034,2025-07-11 19:32:05.263870,1,1912.1,1912.1,UPI
18,845,751,2024-10-08 19:32:05.263879,1,1079.94,1079.94,Debit Card
19,1464,1078,2025-10-06 19:32:05.263887,2,1820.43,3640.86,UPI
20,31,616,2025-02-28 19:32:05.263896,3,636.72,1910.16,Wallet
21,761,1906,2025-11-02 19:32:05.263905,3,2692.93,8078.79,Debit Card
22,852,76,2025-08-04 19:32:05.263913,2,542.52,1085.04,Credit Card
23,442,778,2025-09-10 19:32:05.263922,1,1446.34,1446.34,COD
24,1265,606,2024-04-21 19:32:05.263930,1,1813.77,1813.77,Credit Card
25,1334,1523,2025-01-26 19:32:05.263939,1,859.28,859.28,Credit Card
26,1324,1913,2025-02-10 19:32:05.263949,2,1453.93,2907.86,Wallet
27,1105,131,2025-08-15 19:32:05.263958,3,1860.63,5581.89,COD
28,962,118,2024-10-02 19:32:05.263967,2,912,1824,Credit Card
29,455,705,2025-06-15 19:32:05.263975,2,721.57,1443.14,Wallet
30,963,1250,2025-11-07 19:32:05.263985,2,1465.19,2930.38,Wallet
31,157,2000,2024-07-26 19:32:05.263994,3,1395.34,4186.02,UPI
32,728,1195,2024-08-01 19:32:05.264003,1,2487.13,2487.13,UPI
33,297,1976,2024-11-23 19:32:05.264012,2,2949.44,5898.88,UPI
34,1261,333,2026-01-25 19:32:05.264020,3,2950.37,8851.11,UPI
35,664,207,2024-04-12 19:32:05.264029,2,2055.91,4111.82,UPI
36,628,1336,2024-11-17 19:32:05.264037,1,2316.16,2316.16,UPI
37,1129,877,2025-05-31 19:32:05.264046,2,1397.09,2794.18,UPI
38,577,1832,2024-10-01 19:32:05.264055,3,1880.89,5642.67,UPI
39,698,1296,2025-12-11 19:32:05.264064,2,2832.45,5664.9,Wallet
40,584,1428,2025-03-13 19:32:05.264073,3,400.56,1201.68,COD
41,495,149,2026-01-19 19:32:05.264082,1,2158.42,2158.42,Wallet
42,844,794,2024-06-25 19:32:05.264091,3,1801.15,5403.45,UPI
43,1244,1678,2025-02-12 19:32:05.264099,3,713.59,2140.77,Debit Card
44,133,1795,2024-04-16 19:32:05.264107,2,1746.6,3493.2,Credit Card
45,1242,1976,2025-05-25 19:32:05.264116,1,2949.44,2949.44,Credit Card
46,1381,918,2025-11-04 19:32:05.264125,3,1543.71,4631.13,COD
47,1464,943,2025-03-11 19:32:05.264134,1,2257.26,2257.26,UPI
48,379,1334,2025-09-24 19:32:05.264142,1,2962.66,2962.66,COD
49,706,256,2024-05-10 19:32:05.264151,2,1659.37,3318.74,COD
50,1460,298,2024-08-05 19:32:05.264160,2,939.49,1878.98,UPI
51,1220,1202,2025-01-09 19:32:05.264169,2,2943.86,5887.72,Wallet
52,123,816,2024-06-06 19:32:05.264178,2,1776.95,3553.9,UPI
53,409,157,2025-08-28 19:32:05.264187,2,2539.45,5078.9,Credit Card
54,1118,287,2025-01-21 19:32:05.264196,1,2056.48,2056.48,Wallet
55,820,283,2024-11-12 19:32:05.264204,2,842.69,1685.38,Debit Card
56,1461,1386,2024-06-23 19:32:05.264212,3,1812.91,5438.73,COD
57,427,34,2025-03-21 19:32:05.264220,3,1991.57,5974.71,COD
58,136,1862,2025-12-02 19:32:05.264229,1,2582.87,2582.87,Wallet
59,1319,364,2025-05-10 19:32:05.264237,2,2512.53,5025.06,COD
60,1366,1119,2025-06-17 19:32:05.264245,1,667.39,667.39,UPI
61,1429,1960,2024-06-23 19:32:05.264254,2,1380.11,2760.22,Debit Card
62,788,1246,2025-08-17 19:32:05.264262,2,1825.35,3650.7,Wallet
63,629,1410,2024-05-04 19:32:05.264271,3,2627.08,7881.24,COD
64,886,121,2025-07-13 19:32:05.264279,2,2253.73,4507.46,Wallet
65,887,605,2024-10-17 19:32:05.264287,2,2164.44,4328.88,Wallet
66,452,1193,2025-07-22 19:32:05.264300,2,2619.61,5239.22,UPI
67,792,9,2024-09-21 19:32:05.264305,1,456.65,456.65,UPI
68,1030,1173,2025-03-15 19:32:05.264310,2,2656.77,5313.54,Debit Card
69,916,907,2024-06-04 19:32:05.264315,1,704.06,704.06,UPI
70,1355,271,2024-10-16 19:32:05.264320,1,2900.14,2900.14,UPI
71,835,1658,2024-07-18 19:32:05.264325,3,502.67,1508.01,UPI
72,1411,706,2024-09-14 19:32:05.264329,1,979.69,979.69,UPI
73,1306,641,2025-05-07 19:32:05.264334,2,2667.99,5335.98,UPI
74,1323,1473,2026-01-22 19:32:05.264339,3,2789.36,8368.08,Debit Card
75,179,1502,2024-06-14 19:32:05.264344,2,1573.22,3146.44,Wallet
76,1319,460,2025-06-29 19:32:05.264349,3,2129.81,6389.43,COD
77,36,454,2025-07-16 19:32:05.264353,2,425.55,851.1,UPI
78,592,1666,2025-01-24 19:32:05.264361,3,1898.81,5696.43,Credit Card
79,990,810,2025-10-22 19:32:05.264366,1,1520.9,1520.9,Debit Card
80,733,735,2024-03-21 19:32:05.264370,2,2935.45,5870.9,Credit Card
81,134,1379,2024-10-07 19:32:05.264375,2,2783.06,5566.12,Debit Card
82,1500,376,2024-12-28 19:32:05.264380,2,1690.21,3380.42,UPI
83,62,1369,2024-06-05 19:32:05.264385,2,2058.79,4117.58,Credit Card
84,213,194,2025-11-14 19:32:05.264390,2,1172.21,2344.42,Credit Card
85,415,32,2024-07-05 19:32:05.264394,2,571.64,1143.28,Credit Card
86,1140,189,2025-02-25 19:32:05.264399,1,891.97,891.97,Debit Card
87,1268,1255,2025-09-04 19:32:05.264404,1,2978.91,2978.91,COD
88,745,76,2024-11-28 19:32:05.264408,1,542.52,542.52,Debit Card
89,220,951,2025-04-30 19:32:05.264413,2,2921.58,5843.16,Wallet
90,103,1728,2024-04-26 19:32:05.264418,1,639.37,639.37,UPI
91,649,1341,2024-07-13 19:32:05.264423,2,415.87,831.74,COD
92,438,1462,2024-06-04 19:32:05.264427,3,2433.81,7301.43,COD
93,504,1295,2025-01-01 19:32:05.264433,1,1008.49,1008.49,Credit Card
