product_id,product_name,category,brand,cost_price,selling_price
1,BrandD Skirt 1,Jacket,BrandB,473.5,508.65
2,BrandD Sweater 2,Sweater,BrandA,1094.69,945.83
3,BrandA Shoes 3,Shorts,BrandC,492.7,1577.13
4,BrandE Shorts 4,Shorts,BrandA,1048.53,724.2
5,BrandA Shoes 5,Sweater,BrandB,1300.34,1075.55
6,BrandE Dress 6,Jacket,BrandD,1048.28,1819.52
7,BrandC T-Shirt 7,Shirt,BrandC,900.8,1453.48
8,BrandE Sweater 8,Jacket,BrandB,1850.71,688
9,BrandB T-Shirt 9,Shoes,BrandC,917.57,456.65
10,BrandC Shorts 10,Jeans,BrandE,932.88,734.48
11,BrandB Jeans 11,Jeans,BrandA,1257.52,2482.67
12,BrandC Shirt 12,Jeans,BrandD,1700.74,2079.37
13,BrandB Jeans 13,Shoes,BrandC,1831.96,695.55
14,BrandE Jacket 14,Shoes,BrandC,1681.45,1841.49
15,BrandA Shoes 15,Dress,BrandC,1246.67,2978.39
16,BrandA Jeans 16,Shirt,BrandD,377.38,1498.37
17,BrandC Shirt 17,Shirt,BrandA,975.47,1113.06
18,BrandC T-Shirt 18,Sweater,BrandB,540.19,2264.33
19,BrandE Jeans 19,T-Shirt,BrandE,1399.75,2181.39
20,BrandD Sneakers 20,Shorts,BrandB,426.13,722.61
21,BrandD T-Shirt 21,Sneakers,BrandD,882.66,1443.41
22,BrandB Sneakers 22,Jacket,BrandA,1516.61,1377.58
23,BrandB Skirt 23,Sneakers,BrandA,1445.9,1168.44
24,BrandA Jeans 24,Jeans,BrandD,1851.45,1854.71
25,BrandC Jeans 25,T-Shirt,BrandE,332.55,1176.83
26,BrandE Jeans 26,T-Shirt,BrandD,1948.68,1424.24
27,BrandE Sneakers 27,Shoes,BrandB,1079.29,1900.62
28,BrandD Dress 28,T-Shirt,BrandA,722.85,590.41
29,BrandC Shirt 29,T-Shirt,BrandD,304.99,2605.6
30,BrandB Skirt 30,Shoes,BrandE,1781.65,1538.36
31,BrandB Shoes 31,Dress,BrandE,717.41,1574.6
32,BrandB Shorts 32,Jeans,BrandA,795.14,571.64
33,BrandA Jacket 33,Jeans,BrandE,1206.88,784
34,BrandD Shoes 34,Shoes,BrandC,1449.74,1991.57
35,BrandD Shorts 35,Shorts,BrandD,796.84,2091.24
36,BrandB Skirt 36,T-Shirt,BrandB,824.4,1854.07
37,BrandE Shorts 37,Shoes,BrandE,790.87,2651.75
38,BrandB Shoes 38,Dress,BrandA,1113.05,1258.26
39,BrandD Skirt 39,Jacket,BrandE,922.05,2962.91
40,BrandD Dress 40,Skirt,BrandB,1032.69,608.84
41,BrandD Jeans 41,Jeans,BrandC,1842.17,733.82
42,BrandB Dress 42,Sneakers,BrandB,734.71,2532.14
43,BrandD Jeans 43,Shoes,BrandA,1248.28,2175.54
44,BrandB Jacket 44,Shoes,BrandC,1867.28,1049.13
45,BrandA T-Shirt 45,Shirt,BrandE,1417.75,435.04
46,BrandD Dress 46,Sneakers,BrandC,671.99,2524.9
47,BrandB Shirt 47,Shoes,BrandB,1465.63,2535.06
48,BrandD Dress 48,Skirt,BrandB,548.72,2869.24
49,BrandE T-Shirt 49,Skirt,BrandE,1972.08,1305.79
50,BrandB Dress 50,Shorts,BrandA,1952.34,960.72
51,BrandD Shoes 51,T-Shirt,BrandC,1688.98,1227.33
52,BrandA Shirt 52,Sneakers,BrandC,759.23,2619.8
53,BrandC Shirt 53,Sneakers,BrandB,1332.33,2200.7
54,BrandA Shoes 54,Sweater,BrandB,1667.79,2063.64
55,BrandB Jeans 55,Jeans,BrandC,1282.09,1266.09
56,BrandD Shirt 56,Jeans,BrandB,850.72,2456.5
57,BrandE Shorts 57,Dress,BrandC,933.73,1452.67
58,BrandA Shorts 58,Shirt,BrandE,1483.79,2927.92
59,BrandE Shirt 59,Shoes,BrandE,1397.6,1873.74
60,BrandE Shirt 60,Shorts,BrandE,1872.64,1100.48
61,BrandB Sneakers 61,T-Shirt,BrandE,1509.65,2582.45
62,BrandD Shirt 62,Jeans,BrandE,436.43,451.56
63,BrandB T-Shirt 63,Sneakers,BrandA,1927.49,992.19
64,BrandD Jacket 64,Dress,BrandA,1181.75,928.32
65,BrandD Dress 65,Shoes,BrandB,893.21,2541.33
66,BrandD Jeans 66,Jacket,BrandB,1758.05,2048.27
67,BrandE Sneakers 67,Sneakers,BrandC,1585.02,2039.73
68,BrandE Shorts 68,Sneakers,BrandE,1211.42,1063.67
69,BrandC Sweater 69,Jeans,BrandE,566.03,2435.54
70,BrandB Jacket 70,Shoes,BrandB,900.41,1506.24
71,BrandC Sweater 71,T-Shirt,BrandD,808.39,1223.61
72,BrandD Shirt 72,Jacket,BrandC,1441.85,2035.13
73,BrandE Dress 73,Shorts,BrandA,489.15,1261.56
74,BrandA Skirt 74,T-Shirt,BrandC,1368.58,762.86
75,BrandE Dress 75,Jacket,BrandE,321.97,613.12
76,BrandD Shoes 76,Sweater,BrandA,1696.51,542.52
77,BrandA Sweater 77,T-Shirt,BrandD,1497.55,503.7
78,BrandE Shoes 78,Sneakers,BrandA,1453.71,454.79
79,BrandE Shirt 79,Sneakers,BrandD,1963.15,1742.13
80,BrandE Shoes 80,Sneakers,BrandE,1276.8,977.93
81,BrandA Sweater 81,Shorts,BrandB,1019.24,1520.41
82,BrandE Shorts 82,T-Shirt,BrandC,1957.59,622.32
83,BrandD Shirt 83,Dress,BrandA,647.88,1699.47
84,BrandD Sweater 84,Jeans,BrandE,757.82,1957.93
85,BrandB Skirt 85,Sweater,BrandA,782.43,2017.09
86,BrandA Dress 86,Shirt,BrandD,1422.84,1510.09
87,BrandE Shoes 87,Jeans,BrandB,670.76,1279.7
88,BrandE Shoes 88,Jeans,BrandE,1826.08,2585.71
89,BrandE Sweater 89,Jacket,BrandA,802.06,1320.42
90,BrandD Sneakers 90,Shorts,BrandE,1565.39,1294.68
91,BrandD Dress 91,Dress,BrandB,1982.45,2941.09
92,BrandB Dress 92,Shirt,BrandC,1969.4,775.12
93,BrandC Shorts 93,Jacket,BrandD,421.66,772.61
94,BrandC Sweater 94,Jacket,BrandB,700.34,2739.93
95,BrandE Sneakers 95,Shoes,BrandD,1369.57,495.5
96,BrandA T-Shirt 96,Jacket,BrandA,1396.77,2590.01
97,BrandE T-Shirt 97,Shorts,BrandA,1242.5,2705.03
98,BrandC Dress 98,Shoes,BrandC,963.32,1212.89
99,BrandD Dress 99,Jeans,BrandA,340.43,784.37
100,BrandC Shoes 100,Sweater,BrandB,1708.19,2519.05
101,BrandD Dress 101,Sneakers,BrandC,569.07,2506.24
102,BrandD Shirt 102,Jacket,BrandD,1121.73,2215.9
